sid,bibkey,record_id,title_abbrev,year,venue_abbrev,venue_type,primary_topic,qa,phases
S1,Ferrari2009DBaaSSec,CAND-0663,Database as a Service: Challenges and solutions for privacy and…,2009,IEEE APSCC,conference,Security/Privacy,6,Operate
S2,Lee2012GraphDB,CAND-1069,An in-depth comparison of subgraph isomorphism algorithms in gr…,2012,PVLDB,journal,Graph Databases,6.5,Optimize
S3,Deka2014CloudDBSurvey,CAND-1296,A Survey of Cloud Database Systems,2014,IEEE IT Professional,journal,NoSQL/NewSQL,6,Design;Operate;Optimize
S4,Litchfield2014DBaaS,CAND-M-005,"A Systematic Review of Cloud Computing, Big Data and Databases …",2014,AMCIS,conference,DBaaS,8,Design;Deploy;Operate;Optimize;Evolve
S5,Kohler2015Sec,CAND-1818,Confidential database-as-a-service approaches: taxonomy and sur…,2015,J. Cloud Comput.,journal,Security/Privacy,7.5,Design;Operate;Optimize
S6,Lourenco2015NoSQL,CAND-1806,Choosing the right NoSQL database for the job: a quality attrib…,2015,J. Big Data,journal,NoSQL/NewSQL,7.5,Design;Operate;Optimize
S7,Abourezq2016DBaaS,CAND-2136,Database-as-a-Service for Big Data: An Overview,2016,IJACSA,journal,DBaaS,7,Design;Deploy;Operate;Optimize
S8,Guralnik2016GraphDB,CAND-2272,Some problems on graph databases,2016,Proc. ISP RAS,journal,Graph Databases,7,Optimize
S9,Mathew2021CloudMigration,,Cloud Migration Process: A Survey,2016,J. Syst. Softw.,journal,Cloud DB Migration,7.5,Deploy;Evolve
S10,Angles2020GraphDB,,Foundations of Query Languages for Graph DBs,2017,ACM Comp. Surv.,journal,Graph Databases,8,Design;Optimize
S11,Bader2017TSDB,,Open Source Time Series Databases: A Survey,2017,BTW,conference,Time-Series DBs,6,Design;Operate
S12,Moghadam2017Sec,CAND-2492,Enforcing Privacy in Cloud Databases,2017,arXiv,arxiv,Security/Privacy,6.5,Operate;Optimize
S13,Siddiqa2017NoSQL,CAND-2427,Big data storage technologies: a survey,2017,Front. Inf. Technol. Electron. Eng.,journal,NoSQL/NewSQL,7.5,Design;Operate
S14,Ali2018AI4DB,CAND-2844,Evolutionary Algorithms for Query Op-timization in Distributed …,2018,ADCAIJ,journal,AI4DB/Learned Opt.,6,Optimize
S15,Davoudian2018NoSQL,,A Survey on NoSQL Stores,2018,ACM Comp. Surv.,journal,NoSQL/NewSQL,8,Design;Deploy
S16,Iancu2018DBaaS,CAND-2970,Saving Large Semantic Data in Cloud: A Survey of the Main DBaaS…,2018,Informatica Economica,journal,DBaaS,6,Design;Deploy
S17,Patil2018GraphDB,CAND-2774,A Survey on Graph Database Management Techniques for Huge Unstr…,2018,IJECE,journal,Graph Databases,7,Design;Optimize
S18,Segalin2018DBaaS,CAND-2816,"DBaaS Multitenancy, Auto-tuning and SLA Maintenance in Cloud En…",2018,iSys,journal,DBaaS,7,Deploy;Operate;Optimize
S19,Affolter2019NLIDB,,Recent NL Interfaces for Databases: A Comparative Survey,2019,VLDB Journal,journal,NL/LLM-Database,7.5,Optimize
S20,Aldin2019DistDB,CAND-3154,Consistency models in distributed systems: A survey on definiti…,2019,arXiv,arxiv,Distributed DBs,6,Operate;Optimize
S21,Dar2019NLIDB,CAND-3204,Frameworks for Querying Databases Using Natural Language: A Lit…,2019,arXiv,arxiv,NL/LLM-Database,6.5,Optimize
S22,Khan2019DaaSAnalytic,,"Architecture, Security & Performance of DBaaS",2019,Trans. Emerg. Telecom. Tech.,journal,Security/Privacy,6.5,Design;Operate
S23,Khelaifa2019DistDB,CAND-3057,A comparative analysis of adaptive consistency approaches in cl…,2019,J. Parallel Distrib. Comput.,journal,Distributed DBs,7.5,Operate;Optimize
S24,Lu2019MultiModel,,Multi-Model Databases: A New Journey,2019,ACM Comp. Surv.,journal,Multi-Model DBs,8,Design;Deploy
S25,Luo2019NoSQL,CAND-3251,LSM-based storage techniques: a survey,2019,VLDB J.,journal,NoSQL/NewSQL,7.5,Design;Optimize
S26,Mami2019MultiModel,CAND-3392,The Query Translation Landscape: a Survey,2019,arXiv,arxiv,Multi-Model DBs,6.5,Optimize
S27,Ruan2019DistDB,CAND-3134,Blockchains vs. Distributed Databases: Dichotomy and Fusion,2019,arXiv,arxiv,Distributed DBs,6,Design;Operate;Optimize
S28,Asaad2020NoSQL,CAND-3740,NoSQL Databases: Yearning for Disambiguation,2020,arXiv,arxiv,NoSQL/NewSQL,6,Design;Operate
S29,Dayarathna2020Bench,CAND-3536,Benchmarking Graph Data Management and Processing Systems: A Su…,2020,arXiv,arxiv,Benchmarking,6.5,Optimize
S30,Khasawneh2020SQLNewSQL,,"SQL, NewSQL, and NoSQL Databases: A Comparative Survey",2020,IEEE ICICS,conference,NoSQL/NewSQL,6,Design;Deploy
S31,Kuznetsov2020HTAP,CAND-3778,"Real-time analytics, hybrid transactional/analytical processing…",2020,Proc. ISP RAS,journal,HTAP Systems,6.5,Design;Optimize
S32,Marcus2020AI4DB,CAND-3537,Benchmarking learned indexes,2020,PVLDB,journal,AI4DB/Learned Opt.,7.5,Optimize
S33,Arenas2021GraphDB,CAND-4226,Querying in the Age of Graph Databases and Knowledge Graphs,2021,ACM SIGMOD Record,journal,Graph Databases,6.5,Design;Optimize
S34,Faridoon2021NoSQL,CAND-4002,Big Data Storage Tools Using NoSQL Databases and Their Applicat…,2021,Computing and Informatics,journal,NoSQL/NewSQL,8,Design;Operate;Optimize;Evolve
S35,Mansouri2021EdgeFog,CAND-4092,Evaluation of Distributed Databases in Hybrid Clouds and Edge C…,2021,arXiv (Cornell University),arxiv,Edge/Fog DBs,6.5,Design;Deploy;Optimize
S36,Mao2021NoSQL,CAND-4029,Comparison and evaluation of state-of-the-art LSM merge policies,2021,VLDB J.,journal,NoSQL/NewSQL,7.5,Optimize
S37,Sanka2022CloudSecSurvey,,Cloud Computing Security: Threats & Mitigation--An SLR,2021,IEEE Access,journal,Security/Privacy,7,Operate
S38,Sarkar2021NoSQL,CAND-4031,Constructing and analyzing the LSM compaction design space,2021,PVLDB,conference,NoSQL/NewSQL,7.5,Design;Optimize
S39,Truica2021NoSQL,CAND-4309,The Forgotten Document-Oriented Database Management Systems: An…,2021,Big Data Research,journal,NoSQL/NewSQL,7.5,Design;Optimize
S40,Zhang2021Sec,CAND-3233,Integrity Authentication for SQL Query Evaluation on Outsourced…,2021,IEEE TKDE,journal,Security/Privacy,7.5,Operate
S41,Glake2022MultiModel,CAND-4791,Towards Polyglot Data Stores -- Overview and Open Research Ques…,2022,arXiv,arxiv,Multi-Model DBs,6.5,Design;Optimize
S42,Harby2022Lakehouse,,From Data Warehouse to Lakehouse: A Comparative Review,2022,IEEE BigData,conference,Data Lakehouse,6.5,Design;Deploy
S43,Shareef2022NoSQL,CAND-M-004,A Survey of Comparison Different Cloud Database Performance: SQ…,2022,Passer J.,journal,NoSQL/NewSQL,7,Design;Deploy;Operate;Optimize
