sid,bibkey,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18
S1,Ferrari2009DBaaSSec,1,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0
S2,Lee2012GraphDB,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
S3,Deka2014CloudDBSurvey,2,2,1,0,2,1,2,0,2,1,2,2,0,0,0,0,0,1
S4,Litchfield2014DBaaS,2,2,2,1,1,2,1,0,1,2,2,2,0,0,0,0,1,2
S5,Kohler2015Sec,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S6,Lourenco2015NoSQL,2,2,2,1,0,0,2,1,0,2,2,0,0,0,0,0,0,1
S7,Abourezq2016DBaaS,2,2,1,2,2,2,2,0,2,2,2,2,1,0,1,2,0,2
S8,Guralnik2016GraphDB,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
S9,Mathew2021CloudMigration,2,0,1,2,2,2,1,0,0,1,2,2,0,0,0,2,1,2
S10,Angles2020GraphDB,0,0,2,0,0,0,2,2,0,0,0,0,0,1,0,1,0,2
S11,Bader2017TSDB,2,2,1,0,1,0,0,0,0,0,2,0,1,0,1,0,0,1
S12,Moghadam2017Sec,0,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S13,Siddiqa2017NoSQL,2,2,2,0,0,0,2,1,0,1,2,0,0,0,1,0,0,0
S14,Ali2018AI4DB,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
S15,Davoudian2018NoSQL,2,2,2,0,0,0,2,1,2,2,2,0,0,0,0,0,0,1
S16,Iancu2018DBaaS,1,1,1,1,1,0,2,2,0,1,1,0,0,0,1,0,0,2
S17,Patil2018GraphDB,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
S18,Segalin2018DBaaS,2,1,2,1,2,2,0,0,0,0,1,0,0,1,2,0,2,0
S19,Affolter2019NLIDB,0,0,1,0,0,0,2,2,0,0,0,0,0,2,0,0,0,1
S20,Aldin2019DistDB,2,2,2,2,2,0,1,0,1,2,2,0,1,0,1,0,2,0
S21,Dar2019NLIDB,0,0,1,0,0,0,2,2,0,0,0,0,0,2,0,0,0,2
S22,Khan2019DaaSAnalytic,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
S23,Khelaifa2019DistDB,1,2,2,2,2,0,0,0,0,1,2,1,2,2,2,0,0,0
S24,Lu2019MultiModel,1,0,2,0,0,0,2,2,0,1,0,0,0,0,0,0,0,2
S25,Luo2019NoSQL,0,0,2,0,2,0,0,0,2,1,2,0,0,0,2,0,0,0
S26,Mami2019MultiModel,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2
S27,Ruan2019DistDB,2,2,2,2,0,0,1,0,2,2,2,0,0,0,0,1,0,0
S28,Asaad2020NoSQL,2,2,1,1,1,0,2,0,0,2,2,1,0,0,0,0,0,1
S29,Dayarathna2020Bench,2,0,2,1,1,0,2,1,0,0,1,0,0,1,0,0,1,2
S30,Khasawneh2020SQLNewSQL,2,2,2,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0
S31,Kuznetsov2020HTAP,1,0,2,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0
S32,Marcus2020AI4DB,1,0,2,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0
S33,Arenas2021GraphDB,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1
S34,Faridoon2021NoSQL,2,2,1,2,1,0,2,0,0,1,2,1,0,0,0,0,0,0
S35,Mansouri2021EdgeFog,1,1,2,0,1,1,1,0,0,1,0,0,2,1,0,0,2,0
S36,Mao2021NoSQL,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
S37,Sarkar2021NoSQL,1,0,2,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0
S38,Truica2021NoSQL,2,2,2,1,1,0,2,1,1,2,2,0,2,0,0,0,0,1
S39,Zhang2021Sec,1,0,2,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0
S40,Glake2022MultiModel,2,2,2,2,0,0,2,2,0,1,1,2,0,1,2,1,0,2
S41,Harby2022Lakehouse,1,2,1,1,2,0,1,0,2,1,1,1,0,2,1,2,0,1
S42,Shareef2022NoSQL,2,2,2,2,2,1,2,1,1,2,2,1,0,0,1,0,1,2
S43,Zhou2022AI4DB,1,0,2,2,0,1,1,0,0,2,1,0,0,2,2,2,0,0
S44,Ahmed2023DistDB,1,2,2,0,2,0,1,0,0,2,2,0,2,1,1,0,2,0
S45,Besta2023GraphDB,2,0,2,0,0,0,2,1,0,2,1,1,0,1,0,0,0,2
S46,Ferreira2023NoSQLMD,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
S47,Guo2023MultiModel,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2
S48,Khan2023NoSQL,2,2,2,1,1,0,2,0,0,1,1,2,0,0,0,0,0,2
S49,Koppenwallner2023Sec,1,0,2,2,1,1,0,0,0,0,0,1,0,0,0,2,0,1
S50,Ma2023VectorDB,2,2,2,2,0,0,1,1,0,0,1,0,0,2,0,0,0,0
S51,Tian2023GraphDB,2,0,2,1,0,1,2,1,0,2,1,1,0,1,0,0,0,2
S52,Vikiru2023DBaaS,2,2,1,2,2,0,2,0,0,2,2,0,2,1,1,0,1,1
S53,Woltmann2023DNNIndex,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
S54,Anuyah2024GraphDB,2,1,2,0,0,0,2,1,0,1,2,1,2,2,0,1,0,0
S55,Falcao2024Bench,1,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0
S56,Gao2024RAGSurvey,0,0,0,1,0,0,2,1,0,0,0,0,0,2,0,1,0,0
S57,Gomes2024EdgeFog,2,2,2,2,1,0,1,2,0,2,2,0,2,2,1,2,2,1
S58,Haas2024HTAPSurvey,2,2,2,0,1,2,1,2,2,2,1,0,0,2,1,0,0,0
S59,Janssen2024Lakehouse,2,0,1,2,2,0,2,1,2,2,0,1,0,2,0,2,0,2
S60,Li2024CloudNativeSurvey,2,2,2,2,2,1,1,2,2,2,2,2,0,2,2,1,0,0
S61,Mishra2024NoSQL,0,0,2,0,1,0,1,0,2,0,1,0,0,1,0,0,1,0
S62,Nurhadi2024AI4DB,2,2,1,1,1,0,2,2,0,2,1,2,0,2,0,2,0,1
S63,Pan2024VectorDB,2,1,2,1,1,0,2,2,2,1,1,0,0,2,1,0,0,1
S64,Pohl2024LakehouseTS,1,1,2,1,1,0,2,2,2,1,2,1,1,2,1,2,0,1
S65,Santos2024GraphDB,0,0,0,1,0,0,2,1,0,1,0,2,0,0,0,1,0,2
S66,Solat2024DistDB,2,2,2,2,0,0,1,1,0,2,2,1,0,0,1,0,1,1
S67,Song2024HTAP,2,2,2,0,1,2,2,2,2,2,2,0,0,2,2,0,1,0
S68,Taipalus2024DBMSPerf,1,2,2,0,1,0,2,1,0,2,1,2,0,0,0,0,1,1
S69,Taipalus2024VectorDB,1,0,2,2,1,0,2,2,0,1,1,0,0,2,0,1,0,0
S70,Tu2024CassandraMongo,2,2,2,0,0,0,2,2,0,2,2,2,1,1,2,0,0,1
S71,Zhang2024AI4DB,1,0,2,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0
S72,AbdullahAlMamun2025AI4DB,0,0,2,2,0,0,0,0,2,0,0,0,0,2,1,0,0,0
