record_id,qa1,qa2,qa3,qa4,qa5,qa6,qa7,qa8,total,verdict,primary_topic,phases,venue_abbrev,venue_type,first_author,pages,title
CAND-0663,1,1,0,1,1,1,1,0,6,include,Security/Privacy,Operate,IEEE APSCC,conference,Ferrari,6,Database as a Service: Challenges and Solutions for Privacy and Security
CAND-0780,,,,,,,,,,EC3,,,,,,,Cloud Database-as-a-Service (DaaS) - ROI
CAND-0789,,,,,,,,,,EC3,,,,,,,Database as a service (DBaaS)
CAND-1029,,,,,,,,,,EC3,,,,,,,Survey on NoSQL Database
CAND-1069,1,1,0.5,1,1,1,1,0,6.5,include,Graph Databases,Optimize,PVLDB,journal,Lee,12,An In-depth Comparison of Subgraph Isomorphism Algorithms in Graph Databases
CAND-1296,1,1,0.5,1,1,0.5,1,0,6,include,NoSQL/NewSQL,Design;Operate;Optimize,IEEE IT Professional,journal,Deka,8,A Survey of Cloud Database Systems
CAND-1305,,,,,,,,,,EC3,,,,,,,A Survey on Querying Encrypted Data for Database as a Service
CAND-1651,,,,,,,,,,EC3,,,,,,,Review on Fragmentation in Distributed Database Environment
CAND-1671,,,,,,,,,,EC3,,,,,,,Study on Database Virtualization for Database as a Service (DBaaS)
CAND-1728,,,,,,,,,,EC1,,,,,,,
CAND-1748,,,,,,,,,,EC3,,,,,,,
CAND-1753,0.5,0.5,0,0,0.5,0,0,0,1.5,below-qa,,,,,,,
CAND-1806,1,1,0.5,1,1,1,1,1,7.5,include,NoSQL/NewSQL,Design;Operate;Optimize,J. Big Data,journal,Lourenco,26,Choosing the right NoSQL database for the job: a quality attribute evaluation
CAND-1818,1,1,0.5,1,1,1,1,1,7.5,include,Security/Privacy,Design;Operate;Optimize,J. Cloud Comput.,journal,Kohler,14,Confidential database-as-a-service approaches: taxonomy and survey
CAND-1843,1,1,0,1,1,0.5,0.5,0,5,include,NoSQL/NewSQL,Design;Operate;Optimize,Trakia J. Sci.,journal,Klisarova-Belcheva,6,Distributed databases - some approaches; models and current trends
CAND-1986,,,,,,,,,,EC3,,,,,,,
CAND-2020,1,1,0.5,1,1,1,0.5,1,7,include,Distributed DBs,Design;Operate;Optimize,IJDMS,journal,Waqas,19,Transaction Management Techniques and Practices in Current Cloud Computing Environments : A Survey
CAND-2136,1,1,0.5,1,1,1,0.5,1,7,include,DBaaS,Design;Deploy;Operate;Optimize,IJACSA,journal,Abourezq,21,Database-as-a-Service for Big Data: An Overview
CAND-2245,1,1,0.5,1,1,1,0.5,1,7,include,Graph Databases,Optimize,IJDMS,journal,Ben Ammar,14,Query Optimization Techniques in Graph Databases
CAND-2272,1,1,0.5,1,1,1,0.5,1,7,include,Graph Databases,Optimize,Proc. ISP RAS,journal,Guralnik,12,Some problems on graph databases
CAND-2383,,,,,,,,,,EC1,,,,,,,
CAND-2384,,,,,,,,,,EC3,,,,,,,
CAND-2400,1,1,0,1,1,1,0.5,1,6.5,include,Graph Databases,Optimize,IJCNIS,journal,Dinari,9,A Survey on Graph Queries Processing: Techniques and Methods
CAND-2427,1,1,0.5,1,1,1,1,1,7.5,include,NoSQL/NewSQL,Design;Operate,Front. Inf. Technol. Electron. Eng.,journal,Siddiqa,31,Big data storage technologies: a survey
CAND-2433,,,,,,,,,,EC3,,,,,,,
CAND-2461,1,1,0,0.5,0.5,1,0.5,0,4.5,include,DBaaS,Deploy;Operate,IJITCS,journal,Bhatti,9,Databases in Cloud Computing: A Literature Review
CAND-2492,1,1,0.5,1,1,1,0,1,6.5,include,Security/Privacy,Operate;Optimize,arXiv,arxiv,Sobati Moghadam,14,Enforcing Privacy in Cloud Databases
CAND-2574,,,,,,,,,,EC3,,,,,,,
CAND-2576,,,,,,,,,,EC3,,,,,,,
CAND-2625,1,1,0.5,1,1,0.5,1,0,6,include,DBaaS,Design;Deploy;Optimize,IEEE Big Data (BIGDATA),conference,Baralis,10,SQL versus NoSQL Databases for Geospatial Applications
CAND-2631,1,1,0.5,1,1,1,0.5,0,6,include,Security/Privacy,Operate,IJARCS,journal,Dindoliwala,6,Survey on Security Mechanisms In NoSQL Databases
CAND-2741,0.5,1,0,1,1,0.5,0,0,4,include,Distributed DBs,Operate;Optimize,IJRASET,journal,Solanki,9,An overview of Concurrency Control Techniques in Distributed Database
CAND-2774,1,1,0.5,1,1,1,0.5,1,7,include,Graph Databases,Design;Optimize,IJECE,journal,Patil,10,A Survey on Graph Database Management Techniques for Huge Unstructured Data
CAND-2816,1,1,0.5,1,1,1,0.5,1,7,include,DBaaS,Deploy;Operate;Optimize,iSys,journal,Segalin,13,DBaaS Multitenancy; Auto-tuning and SLA Maintenance in Cloud Environments: a Brief Survey
CAND-2844,1,1,0.5,1,1,0,0.5,1,6,include,AI4DB/Learned Opt.,Optimize,ADCAIJ,journal,Ali,14,Evolutionary Algorithms for Query Optimization in Distributed Database Systems: A review
CAND-2970,1,1,0.5,1,1,1,0.5,0,6,include,DBaaS,Design;Deploy,Informatica Economica,journal,Iancu,12,Saving Large Semantic Data in Cloud: A Survey of the Main DBaaS Solutions
CAND-3002,1,1,0.5,1,1,0,0.5,0,5,include,Benchmarking,Design;Optimize,Vojnotehnicki glasnik,journal,Krstic,26,Testing the performance of NoSQL databases via the database benchmark tool
CAND-3028,,,,,,,,,,EC3,,,,,,,
